fr_school_id	maxpreps_url	school_id	method	games_count
al-maplesville-maplesville	https://www.maxpreps.com/al/maplesville/maplesville-red-devils/football/schedule/	f55d0fd1-189b-4ffd-900a-6d646e8cd6e7	search	9
hi-kapaa-kapaa	https://www.maxpreps.com/hi/kapaa/kapaa-warriors/football/schedule/	846f6844-aa13-4889-90b5-56f20ccdbb53	search	9
ia-des-moines-des-moines-christian-school	https://www.maxpreps.com/ia/des-moines/des-moines-christian-lions/football/schedule/	95326651-2eba-45b1-89de-ca298e478765	alias	9
ia-humboldt-humboldt	https://www.maxpreps.com/ia/humboldt/humboldt-wildcats/football/schedule/	2e06cc82-1ddb-46e7-8ac1-0470396c59e0	search	9
ia-iowa-city-iowa-city-west	https://www.maxpreps.com/ia/iowa-city/iowa-city-west-trojans/football/schedule/	39ebb946-8f22-4c5f-a267-1f2234b55324	crosswalk	9
il-dunlap-dunlap	https://www.maxpreps.com/il/dunlap/dunlap-eagles/football/schedule/	2c0b1910-606e-42d9-b210-4d6603f07856	search	9
il-joliet-joliet-west	https://www.maxpreps.com/il/joliet/joliet-west-tigers/football/schedule/	4e56b8fe-f320-41bf-9722-c657fa38f0df	search	9
il-palatine-palatine	https://www.maxpreps.com/il/palatine/palatine-pirates/football/schedule/	8d5b979e-4379-4113-8818-549f355573e5	search	9
in-zionsville-zionsville	https://www.maxpreps.com/in/zionsville/zionsville-eagles/football/schedule/	042873f8-52e7-4d44-9a92-9a2cfaee9ffd	search	9
la-abbeville-abbeville	https://www.maxpreps.com/la/abbeville/abbeville-fighting-wildcats/football/schedule/	fbeeef3d-cd4b-4d66-8baa-a0336b101ec9	search	9
mi-traverse-city-traverse-city-west	https://www.maxpreps.com/mi/traverse-city/traverse-city-west-titans/football/schedule/	5c1c7489-4c4d-4a2f-be57-1b02c4738e8a	search	9
mo-hallsville-hallsville	https://www.maxpreps.com/mo/hallsville/hallsville-indians/football/schedule/	4380de6a-b751-47a2-9190-35eb126ac7fd	search	9
